"","GEOID","B01003_001 POP","B19013_001 INCOME","B02001_002 RACE_W","B02001_003 RACE_B","B08134_111 CM_BIKE","B08134_011 CM_CAR","B08134_061 CM_PUB","B08134_101 CM_WALK","B08016_001 WORKERS16","ctract"
"193","42101020102",3415,36729,37,3357,39,427,734,68,1388,"020102"
"194","42101020200",4804,20067,317,4272,26,316,609,57,1056,"020200"
"195","42101020300",2842,23244,68,2322,41,501,464,2,1065,"020300"
"196","42101020400",2744,26589,45,2623,0,382,641,13,1051,"020400"
"197","42101020500",2578,13456,78,2350,0,413,124,28,665,"020500"
"198","42101020600",1695,52167,1126,326,22,463,160,97,814,"020600"
"199","42101020700",5942,100813,4632,582,72,2262,867,176,3632,"020700"
"200","42101020800",2289,60938,1143,786,36,623,347,65,1150,"020800"
"201","42101020900",3085,74554,2563,348,6,1548,378,93,2238,"020900"
"202","42101021000",5342,70765,4533,549,55,2625,491,123,3522,"021000"
"203","42101021100",2481,75871,2130,204,7,1053,313,46,1547,"021100"
"204","42101021200",2419,66179,1759,479,14,1109,277,3,1452,"021200"
"205","42101021300",3485,75174,2945,315,7,1720,454,96,2322,"021300"
"206","42101021400",3980,77257,3319,413,51,1952,477,68,2666,"021400"
"207","42101021500",3879,70094,3129,456,64,1983,342,68,2587,"021500"
"208","42101021600",2372,77214,1677,420,6,933,374,15,1398,"021600"
"209","42101021700",5727,88304,4455,692,10,2464,393,11,2961,"021700"
"210","42101021800",5141,56206,2887,1610,45,2100,437,47,2737,"021800"
"211","42101021900",1434,63214,1338,50,0,718,51,9,803,"021900"
"212","42101022000",1534,107500,1361,131,0,559,68,12,663,"022000"
"213","42101023100",1275,125455,1201,11,2,423,107,43,663,"023100"
"214","42101023500",1300,68438,866,361,39,426,111,0,623,"023500"
"215","42101023600",2391,88472,1440,782,44,837,169,99,1206,"023600"
"216","42101023700",4463,61695,1333,2634,16,1283,750,107,2422,"023700"
"217","42101023800",4633,78421,1291,2881,41,1573,844,30,2560,"023800"
"218","42101023900",1634,26213,514,878,0,487,176,0,675,"023900"
"219","42101024000",3659,47852,1324,2016,84,1055,411,77,1740,"024000"
"220","42101024100",1445,12863,288,1044,6,167,61,34,300,"024100"
"221","42101024200",3807,25833,542,3167,62,702,677,141,1664,"024200"
"222","42101024300",3895,36364,509,3172,24,1031,449,14,1546,"024300"
"223","42101024400",3230,30250,340,2703,92,564,237,20,1013,"024400"
"224","42101024500",3823,16478,323,3441,0,731,341,170,1362,"024500"
"225","42101024600",2684,14394,298,2243,0,515,174,29,718,"024600"
"226","42101024700",4293,30755,270,3889,0,819,714,84,1667,"024700"
"227","42101024800",2232,47056,57,2060,0,527,276,22,847,"024800"
"228","42101024900",2737,22971,43,2654,0,564,399,0,1006,"024900"
"229","42101025200",7793,40061,446,7121,0,1385,1146,24,2800,"025200"
"230","42101025300",4636,41545,532,3903,0,1077,847,12,2016,"025300"
"231","42101025400",4222,56042,524,3364,8,1301,492,29,1922,"025400"
"232","42101025500",2764,66190,1072,1334,105,700,470,6,1455,"025500"
"233","42101025600",2795,84659,1493,1028,17,977,286,47,1493,"025600"
"234","42101025700",3874,66676,1888,1389,32,1360,511,58,2067,"025700"
"235","42101025800",1778,57545,102,1632,40,499,242,0,788,"025800"
"236","42101025900",4409,46548,86,4192,0,1539,430,40,2054,"025900"
"237","42101026000",3055,52706,120,2766,47,720,407,14,1280,"026000"
"238","42101026100",3192,35708,103,3045,46,907,186,19,1179,"026100"
"239","42101026200",3791,49918,132,3603,116,1151,584,0,1858,"026200"
"240","42101026301",3488,38510,49,3335,8,981,298,69,1389,"026301"
"241","42101026302",4927,46166,152,4725,1,1538,695,0,2260,"026302"
"242","42101026400",5660,52895,62,5576,65,1722,404,0,2204,"026400"
"243","42101026500",5065,47708,86,4783,9,1417,629,35,2090,"026500"
"244","42101026600",6528,46859,15,6213,0,1607,960,80,2743,"026600"
"245","42101026700",6987,37871,41,6711,28,1652,971,64,2781,"026700"
"246","42101026800",4189,39057,363,3266,18,786,869,0,1794,"026800"
"247","42101026900",2147,59844,462,1400,0,568,154,59,831,"026900"
"248","42101027000",2635,58875,273,2101,16,865,249,7,1198,"027000"
"249","42101027100",2806,51500,189,1749,0,756,421,0,1195,"027100"
"250","42101027200",4647,48250,479,3548,0,1284,641,37,2016,"027200"
"251","42101027300",6019,47551,419,4021,0,1693,628,58,2490,"027300"
"252","42101027401",2975,40738,328,1690,26,910,362,22,1371,"027401"
"253","42101027402",6825,37960,560,3872,61,1692,692,70,2572,"027402"
"254","42101027500",5133,45714,522,3853,26,1413,499,0,1948,"027500"
"255","42101027600",4163,38337,31,3926,0,745,849,15,1647,"027600"
"256","42101027700",4960,29650,76,4388,21,1179,456,57,1741,"027700"
"257","42101027800",4564,31273,148,4328,49,759,832,43,1768,"027800"
"258","42101027901",4201,43182,82,3867,11,931,650,36,1736,"027901"
"259","42101027902",4075,29783,1578,2143,29,749,278,337,1490,"027902"
"260","42101028000",4111,32328,48,3952,0,853,317,19,1192,"028000"
"261","42101028100",4498,35591,341,3864,0,968,483,27,1553,"028100"
"262","42101028200",5184,32284,925,3586,0,1386,711,42,2255,"028200"
"263","42101028300",6738,29509,7,5202,143,1155,991,32,2321,"028300"
"264","42101028400",3873,29950,355,3195,0,750,359,110,1260,"028400"
"265","42101028500",2480,26810,355,1267,0,516,277,10,803,"028500"
"266","42101028600",6583,28981,659,4501,69,1681,737,0,2503,"028600"
"267","42101028700",2577,27097,583,903,104,519,143,179,948,"028700"
"268","42101028800",4619,26408,1070,820,70,807,364,70,1358,"028800"
"269","42101028901",4056,37522,1230,891,123,1167,252,22,1582,"028901"
"270","42101028902",7043,30066,1655,2130,142,1760,685,15,2602,"028902"
"271","42101029000",8124,37977,1688,3084,214,2523,428,31,3293,"029000"
"272","42101029100",5158,28571,663,1976,44,1514,235,82,1913,"029100"
"273","42101029200",4917,51359,953,1912,44,1505,240,15,1836,"029200"
"274","42101029300",3170,25982,904,753,28,583,288,12,911,"029300"
"275","42101029400",3874,23107,951,2011,5,466,410,54,1055,"029400"
"276","42101029800",4830,29805,1867,2032,11,1273,258,30,1665,"029800"
"277","42101029900",4324,24111,1055,2269,1,708,630,22,1370,"029900"
"278","42101030000",7629,29669,1515,4776,37,957,734,164,2021,"030000"
"279","42101030100",5984,26610,1810,2858,18,1399,697,30,2205,"030100"
"280","42101030200",8912,63518,1560,5190,54,2408,1147,245,3916,"030200"
"281","42101030501",6079,37045,758,3740,33,1712,597,26,2478,"030501"
"282","42101030502",7254,49115,1884,4010,19,2299,505,145,2968,"030502"
"283","42101030600",6988,51705,2670,2509,22,2797,657,65,3541,"030600"
"284","42101030700",4238,49906,2005,1646,12,1371,367,69,1838,"030700"
"285","42101030800",5570,55313,2512,1454,0,2137,384,45,2588,"030800"
"286","42101030900",4553,50694,1515,1904,14,1909,253,50,2317,"030900"
"287","42101031000",7694,41540,3213,1850,16,2907,303,154,3380,"031000"
"288","42101031101",5274,38292,1284,2396,60,1354,269,47,1759,"031101"
"289","42101031102",4346,39201,683,2334,8,1119,562,57,1758,"031102"
"290","42101031200",5032,42404,1386,2509,16,1822,213,42,2126,"031200"
"291","42101031300",7632,40317,3121,1580,0,2338,496,64,3018,"031300"
"292","42101031401",7061,41724,2239,1497,36,2126,885,133,3180,"031401"
"293","42101031402",5921,37341,2142,776,24,2035,497,78,2634,"031402"
"294","42101031501",6643,48775,4512,322,210,2344,305,63,2977,"031501"
"295","42101031502",4337,45069,2179,889,0,1443,309,21,1883,"031502"
"296","42101031600",5998,54198,3848,971,30,2035,479,15,2617,"031600"
"297","42101031700",5175,43750,2403,1455,0,2015,420,16,2497,"031700"
"298","42101031800",4056,43576,1213,1779,0,1728,69,95,1924,"031800"
"299","42101031900",5641,43925,2221,1920,22,2058,500,38,2642,"031900"
"300","42101032000",7382,50031,5015,1146,48,2104,607,83,2909,"032000"
"301","42101032100",4070,40175,2136,816,13,1044,258,54,1378,"032100"
"302","42101032300",3619,38906,1896,1327,29,1168,357,61,1638,"032300"
"303","42101032500",6143,51450,3289,1230,39,2117,443,20,2638,"032500"
"304","42101032600",7611,44718,5102,677,16,2564,359,15,2958,"032600"
"305","42101032900",3701,32568,2271,692,29,886,659,71,1708,"032900"
"306","42101033000",8394,44233,4938,1835,92,2452,661,115,3390,"033000"
"307","42101033101",5064,65188,4223,382,21,1890,165,21,2139,"033101"
"308","42101033102",4048,42692,3465,316,11,1353,239,23,1663,"033102"
"309","42101033200",2960,66339,1908,196,14,1123,161,43,1365,"033200"
"310","42101033300",4147,44167,3117,555,8,1193,108,50,1380,"033300"
"311","42101033400",5619,52959,2793,1220,19,1783,307,91,2253,"033400"
"312","42101033500",3975,48426,1877,621,20,1315,311,31,1704,"033500"
"313","42101033600",7288,43198,4906,1518,11,2242,381,241,3035,"033600"
"314","42101033701",6589,41429,4177,1259,66,2064,422,32,2604,"033701"
"315","42101033702",4860,59680,2821,447,34,1995,430,0,2486,"033702"
"316","42101033800",6380,49021,4473,652,21,2353,585,110,3145,"033800"
"317","42101033900",3133,52418,2000,518,85,1085,254,61,1519,"033900"
"318","42101034000",3082,85575,2329,345,10,1136,215,20,1452,"034000"
"319","42101034100",5729,73309,4530,538,12,2360,511,77,2989,"034100"
"320","42101034200",3354,67917,2579,618,0,1326,109,11,1477,"034200"
"321","42101034400",8044,77132,5755,548,34,2977,489,63,3626,"034400"
"322","42101034501",4243,35665,2373,734,63,1173,200,35,1575,"034501"
"323","42101034502",5672,45164,3690,1256,63,1881,251,78,2369,"034502"
"324","42101034600",2496,43654,1208,723,0,952,180,97,1229,"034600"
"325","42101034701",6879,55244,3939,1604,37,2927,256,80,3375,"034701"
"326","42101034702",3835,68636,2663,325,21,1659,272,26,2012,"034702"
"327","42101034801",4600,57463,4132,220,0,1801,306,32,2151,"034801"
"328","42101034802",5485,44074,3267,1607,22,2247,256,0,2525,"034802"
"329","42101034803",4309,68594,3401,136,37,1712,266,29,2056,"034803"
"330","42101034900",5316,52017,3004,1074,28,2081,419,27,2633,"034900"
"331","42101035100",4187,55081,3578,368,16,1408,229,0,1704,"035100"
"332","42101035200",4686,82419,4348,126,62,1802,288,115,2407,"035200"
