STREET,INTERSECTI,ADDRESS,LONG.,LAT.
GIRARD AV,34TH ST,W GIRARD AVE & N 34TH ST,-75.19489864070,39.97516312170
GIRARD AV,34TH ST,W GIRARD AVE & N 34TH ST,-75.19489864070,39.97516312170
60TH ST,LANSDOWNE AV,N 60TH ST & LANSDOWNE AVE,-75.24023502040,39.97591841010
60TH ST,LANSDOWNE AV,N 60TH ST & LANSDOWNE AVE,-75.24023502040,39.97591841010
FORD RD,CRANSTON RD,FORD RD & CRANSTON RD,-75.20969682760,39.99965137150
BELMONT AV,MANTUA AV,BELMONT AVE & MANTUA AVE,-75.21205577270,39.97250894810
BALTIMORE AV,58TH ST,BALTIMORE AVE & S 58TH ST,-75.24005315990,39.94591858100
CONSHOHOCKEN AV,E COUNTRY,CONSHOHOCKEN AVE & E COUNTRY CLUB RD,-75.20319533220,40.00339480230
BELMONT AV,CONSHOHOCKEN AV,BELMONT AVE & CONSHOHOCKEN AVE,-75.21955143790,39.99984073710
ZOOLOGICAL ST,GIRARD AV,ZOOLOGICAL ST & W GIRARD AVE,-75.19541223660,39.97510346320
SPRUCE ST,60TH ST,SPRUCE ST & S 60TH ST,-75.24188944570,39.95655399440
54TH ST,UPLAND WAY,N 54TH ST & UPLAND WAY,-75.23079185510,39.98251769870
LANCASTER AV,47TH ST,LANCASTER AVE & N 47TH ST,-75.21608588360,39.97161939750
LANSDOWNE AV,56TH ST,LANSDOWNE AVE & N 56TH ST,-75.23369114610,39.97664392330
LANCASTER AV,47TH ST,LANCASTER AVE & N 47TH ST,-75.21608588360,39.97161939750
LANCASTER AV,47TH ST,LANCASTER AVE & N 47TH ST,-75.21608588360,39.97161939750
63RD ST,COLUMBIA AVE,N 63RD ST & W COLUMBIA AVE,-75.24654142640,39.98064668300
63RD ST,COLUMBIA AVE,N 63RD ST & W COLUMBIA AVE,-75.24654142640,39.98064668300
LANDSDOWNE AV,N 60TH ST,LANSDOWNE AVE & N 60TH ST,-75.24023502040,39.97591841010
