STREET,INTERSECTI,ADDRESS,LONG.,LAT.
WAYNE AV,CHELTEN AV,WAYNE AVE & W CHELTEN AVE,-75.17891466430,40.03173806870
GERMANTOWN AV,SEDGWICK ST,GERMANTOWN AVE & E SEDGWICK ST,-75.18807770000,40.05689949280
GERMANTOWN AV,NORTHWESTERN,GERMANTOWN AVE & NORTHWESTERN AVE,-75.23050100210,40.08602375550
WAYNE AV,SCHOOL HOUSE LN,WAYNE AVE & W SCHOOL HOUSE,-75.17670603060,40.03046120370
GERMANTOWN AV,CHELTEN AV,GERMANTOWN AVE & E CHELTEN AVE,-75.17472531940,40.03582198020
GERMANTOWN AV,HAINES ST,GERMANTOWN AVE & E HAINES ST,-75.17695585820,40.03842369440
GERMANTOWN AV,ASHMEAD PL,GERMANTOWN AVE & S ASHMEAD PL,-75.16648911770,40.03079540980
STENTON AV,MT PLEASANT AV,STENTON AVE & E MOUNT PLEASANT AVE,-75.17930583080,40.06748374480
WADSWORTH AV,PICKERING AV,WADSWORTH AVE & PICKERING AVE,-75.17260021180,40.08046968630
CB MOORE AV,BROAD ST,CECIL B MOORE AVE & N BROAD ST,-75.15791562840,39.97870886250
GIRARD AV,12TH ST,W GIRARD AVE & N 12TH ST,-75.15571930090,39.97098284410
GIRARD AV,PALMER ST,E GIRARD AVE & E PALMER ST,-75.12842762130,39.97085102140
GIRARD AV,29TH ST,W GIRARD AVE & N 29TH ST,-75.18346785710,39.97456686560
GIRARD AV,11TH ST,W GIRARD AVE & N 11TH ST,-75.15415068110,39.97077954220
OLD YORK RD,MEDARY AV,OLD YORK RD & MEDARY AVE,-75.14416856200,40.04988720760
GIRARD AV,8TH ST,W GIRARD AVE & N 8TH ST,-75.14996763220,39.97048649170
BROAD ST,66TH AV,N BROAD ST & 66TH AVE,-75.14156140720,40.05360097790
OGONTZ AV,74TH AV,OGONTZ AVE & 74TH AVE,-75.15628672700,40.06700762900
GIRARD AV,17TH ST,W GIRARD AVE & N 17TH ST,-75.16427913800,39.97208216840
LINDLEY AV,BROAD ST,LINDLEY AVE & N BROAD ST,-75.14657624110,40.03063853080
OLNEY AV,19TH ST,W OLNEY AVE & N 19TH ST,-75.15283768250,40.03929524670
CB MOORE AV,13TH ST,CECIL B MOORE AVE & N 13TH ST,-75.15570510730,39.97837061200
GERMANTOWN AV,TIOGA ST,GERMANTOWN AVE & W TIOGA ST,-75.14973809760,40.00588994040
GIRARD AV,6TH ST,W GIRARD AVE & N 6TH ST,-75.14654476890,39.97038164770
GIRARD AV,4TH ST,W GIRARD AVE & N 4TH ST,-75.14309536110,39.96995576340
YORK ST,26TH ST,W YORK ST & N 26TH ST,-75.17495154870,39.99187536260
BROAD ST,GRANGE AV,N BROAD ST & W GRANGE AVE,-75.14422518450,40.04138268420
OLD YORK RD,GRANGE AV,OLD YORK RD & W GRANGE AVE,-75.14447838520,40.04119446820
GERMANTOWN AV,ERIE AV,GERMANTOWN AVE & W ERIE AVE,-75.15081093260,40.00919771950
BROAD ST,LOUDON ST,N BROAD ST & W LOUDON ST,-75.14755641520,40.02613961620
