"","start_station","start_station_name","start_lat","start_lon","start_station_volume","start_station_use"
"84","3104","34th & Mantua",39.96664,-75.192093,4232,"underutilized"
"85","3106","33rd & Dauphin",39.991791,-75.186371,6343,"underutilized"
"86","3107","33rd & Reservoir",39.982029,-75.18866,6592,"underutilized"
"87","3108","15th & Market",39.953159,-75.165512,34520,"adequate utilization"
"88","3110","Del. River Trail & Penn St.",39.96175,-75.136414,8759,"underutilized"
"89","3111","Parkside & Belmont, Case Building",39.977791,-75.213226,5730,"underutilized"
"90","3112","48th & Spruce",39.95373,-75.21825,9337,"underutilized"
"91","3113","Philadelphia Zoo",39.97472,-75.197807,2801,"underutilized"
"92","3114","22nd & Federal",39.937752,-75.180122,18980,"fair utilization"
"93","3115","19th & Girard, PTTI",39.97263,-75.167572,7803,"underutilized"
"94","3116","Barnes Foundation",39.96006,-75.171982,17392,"fair utilization"
"95","3117","ParkWest Town Center",39.978409,-75.223991,2773,"underutilized"
"96","3118","46th Street Station, MFL",39.95866,-75.213226,8012,"underutilized"
"97","3119","42nd & Lancaster",39.96674,-75.20799,6344,"underutilized"
"98","3120","31st & Girard",39.97522,-75.186691,15862,"fair utilization"
"99","3121","27th & Girard",39.97274,-75.17939,29614,"adequate utilization"
"100","3122","24th & Cecil B. Moore, Cecil B. Moore Library",39.980621,-75.1735,337,"underutilized"
"101","3123","22nd & Cecil B. Moore",39.980042,-75.170883,4566,"underutilized"
"102","3124","Race Street Pier",39.95295,-75.139793,30538,"adequate utilization"
"103","3125","15th & South",39.943909,-75.167351,23282,"fair utilization"
"104","3129","The Children's Hospital of Philadelphia, Osler Circle",39.94681,-75.19311,16100,"fair utilization"
"105","3150","15th & Castle, DiSilvestro Playground",39.928841,-75.170212,7676,"underutilized"
"106","3152","40th & Baltimore, Trolley Portal",39.94993,-75.20286,5278,"underutilized"
"107","3153","Thompson & Palmer, Adaire School",39.97216,-75.129936,5572,"underutilized"
"108","3154","12th & Callowhill",39.95924,-75.158211,19689,"fair utilization"
