"","start_station","end_station","volume"
"120","Del. River Trail & Penn St.","10th & Chestnut",58
"121","Dornsife Center","10th & Chestnut",23
"122","Fairmount & Ridge","10th & Chestnut",121
"123","Foglietta Plaza","10th & Chestnut",85
"124","Frankford & Belgrade","10th & Chestnut",64
"125","Free Library of Philadelphia - Central Library","10th & Chestnut",97
"126","Front & Carpenter","10th & Chestnut",59
"127","Girard & Hutchinson","10th & Chestnut",27
"128","Girard Station, MFL","10th & Chestnut",28
"129","Grays Ferry & Pemberton","10th & Chestnut",115
"130","Health Sciences Drive","10th & Chestnut",6
"131","Independence Mall, NPS","10th & Chestnut",209
"132","Moyamensing & Tasker","10th & Chestnut",777
"133","Municipal Services Building Plaza","10th & Chestnut",180
"134","Parkside & Belmont, Case Building","10th & Chestnut",19
"135","ParkWest Town Center","10th & Chestnut",0
"136","Penn Treaty Park","10th & Chestnut",0
"137","Pennsylvania & Fairmount Perelman Building","10th & Chestnut",458
"138","Pennsylvania Convention Center","10th & Chestnut",131
"139","Philadelphia Museum of Art","10th & Chestnut",483
"140","Philadelphia Zoo","10th & Chestnut",2
"141","Point Breeze & Tasker","10th & Chestnut",337
"142","Race Street Pier","10th & Chestnut",166
"143","Ridge & Master","10th & Chestnut",70
"144","Rittenhouse Square","10th & Chestnut",107
"145","Rodin Museum","10th & Chestnut",268
"146","Schuylkill Banks Pergola","10th & Chestnut",33
"147","Spring Garden Station, BSL","10th & Chestnut",622
"148","Spring Garden Station, MFL","10th & Chestnut",56
"149","Temple University Station","10th & Chestnut",117
"150","The Children's Hospital of Philadelphia (CHOP)","10th & Chestnut",42
"151","The Children's Hospital of Philadelphia, Osler Circle","10th & Chestnut",26
"152","Thompson & Palmer, Adaire School","10th & Chestnut",12
"153","University City Station","10th & Chestnut",53
"154","Welcome Park, NPS","10th & Chestnut",128
"155","10th & Chestnut","10th & Federal",343
"156","10th & Federal","10th & Federal",779
"157","11th & Market","10th & Federal",344
"158","11th & Pine, Kahn Park","10th & Federal",351
"159","11th & Poplar, John F. Street Community Center","10th & Federal",41
"160","11th & Reed","10th & Federal",159
"161","11th & South","10th & Federal",513
"162","11th & Washington","10th & Federal",145
"163","12th & Callowhill","10th & Federal",75
"164","12th & Chestnut","10th & Federal",207
"165","12th & Filbert","10th & Federal",179
"166","12th & Normandy","10th & Federal",9
"167","12th & Passyunk","10th & Federal",118
"168","13th & Locust","10th & Federal",328
"169","13th & Montgomery","10th & Federal",72
"170","15th & Castle, DiSilvestro Playground","10th & Federal",79
"171","15th & Kitty Hawk","10th & Federal",9
"172","15th & Market","10th & Federal",207
"173","15th & South","10th & Federal",244
"174","15th & Spruce","10th & Federal",522
"175","16th & Arch","10th & Federal",7
"176","16th & Chestnut","10th & Federal",53
"177","17th & Girard","10th & Federal",1
"178","17th & Green","10th & Federal",1
"179","17th & JFK","10th & Federal",16
"180","17th & Locust","10th & Federal",310
"181","17th & Pine","10th & Federal",214
"182","17th & Sansom","10th & Federal",75
"183","17th & Spring Garden","10th & Federal",29
"184","18th & Chestnut","10th & Federal",43
"185","18th & Christian","10th & Federal",20
"186","18th & Fernon, Aquinas Center","10th & Federal",82
"187","18th & JFK","10th & Federal",132
"188","18th & JFK Curbside","10th & Federal",19
"189","18th & Washington, Chew Playground","10th & Federal",144
"190","19th & Girard, PTTI","10th & Federal",3
"191","19th & Lombard","10th & Federal",246
"192","19th & Market","10th & Federal",59
"193","20th & Fairmount","10th & Federal",45
"194","20th & Market","10th & Federal",51
"195","20th & Race","10th & Federal",27
"196","20th & Sansom","10th & Federal",224
"197","21st & Catharine","10th & Federal",97
"198","21st & Winter, Franklin Institute","10th & Federal",12
"199","22nd & Cecil B. Moore","10th & Federal",18
"200","22nd & Federal","10th & Federal",55
"201","23rd & Fairmount","10th & Federal",32
"202","23rd & Market","10th & Federal",146
"203","23rd & South","10th & Federal",139
"204","24th & Cecil B. Moore, Cecil B. Moore Library","10th & Federal",1
"205","24th & Race SRT","10th & Federal",21
"206","24th & Sansom","10th & Federal",35
"207","25th & Diamond","10th & Federal",1
"208","25th & Locust","10th & Federal",98
"209","27th & Girard","10th & Federal",30
"210","27th & Master, Athletic Recreation Center","10th & Federal",2
"211","27th & South","10th & Federal",39
"212","29th & Dauphin","10th & Federal",1
"213","29th & Diamond","10th & Federal",1
"214","2nd & Fairmount","10th & Federal",31
"215","2nd & Germantown","10th & Federal",4
"216","2nd & Market","10th & Federal",172
"217","2nd & Norris","10th & Federal",0
