"","start_station","end_station","volume"
"7758","29th & Dauphin","24th & Race SRT",0
"7759","29th & Diamond","24th & Race SRT",10
"7760","2nd & Fairmount","24th & Race SRT",6
"7761","2nd & Germantown","24th & Race SRT",0
"7762","2nd & Market","24th & Race SRT",22
"7763","2nd & Norris","24th & Race SRT",0
"7764","2nd & Race","24th & Race SRT",23
"7765","2nd & South","24th & Race SRT",15
"7766","30th Street Station East","24th & Race SRT",243
"7767","31st & Girard","24th & Race SRT",122
"7768","32nd & Baring, Drexel Park","24th & Race SRT",150
"7769","33rd & Dauphin","24th & Race SRT",75
"7770","33rd & Diamond","24th & Race SRT",17
"7771","33rd & Market","24th & Race SRT",179
"7772","33rd & Reservoir","24th & Race SRT",47
"7773","34th & Chestnut","24th & Race SRT",8
"7774","34th & Mantua","24th & Race SRT",8
"7775","34th & Spruce","24th & Race SRT",210
"7776","36th & Sansom","24th & Race SRT",125
"7777","38th & Market","24th & Race SRT",48
"7778","38th & Powelton","24th & Race SRT",28
"7779","38th & Spruce","24th & Race SRT",82
"7780","39th & Mt. Vernon, Mantua Haverford Community Center","24th & Race SRT",5
"7781","3rd & Girard","24th & Race SRT",7
"7782","40th & Baltimore, Trolley Portal","24th & Race SRT",20
"7783","40th & Spruce","24th & Race SRT",69
"7784","40th Street Station, MFL","24th & Race SRT",8
"7785","42nd & Lancaster","24th & Race SRT",7
"7786","43rd & Chester, Clark Park","24th & Race SRT",54
"7787","44th & Walnut","24th & Race SRT",31
"7788","45th & Baltimore","24th & Race SRT",13
"7789","46th Street Station, MFL","24th & Race SRT",14
"7790","48th & Spruce","24th & Race SRT",8
"7791","4th & Bainbridge","24th & Race SRT",45
"7792","4th & Christian","24th & Race SRT",28
"7793","4th & Walnut, NPS","24th & Race SRT",25
"7794","4th & Washington","24th & Race SRT",5
"7795","6th & Berks","24th & Race SRT",1
"7796","6th & Fairmount","24th & Race SRT",35
"7797","6th & Race","24th & Race SRT",13
"7798","7th & Fitzwater","24th & Race SRT",17
"7799","8th & Market","24th & Race SRT",36
"7800","8th & Mifflin, Bok Building","24th & Race SRT",8
"7801","9th & Arch","24th & Race SRT",65
"7802","9th & Locust","24th & Race SRT",46
"7803","9th & Spring Garden","24th & Race SRT",20
"7804","Amtrak 30th Street Station","24th & Race SRT",233
"7805","Barnes Foundation","24th & Race SRT",98
"7806","Berks Station, MFL","24th & Race SRT",3
"7807","Broad & Carpenter","24th & Race SRT",1
"7808","Broad & Cecil B Moore","24th & Race SRT",0
"7809","Broad & Christian","24th & Race SRT",30
"7810","Broad & Diamond","24th & Race SRT",5
"7811","Broad & Federal","24th & Race SRT",10
"7812","Broad & Girard","24th & Race SRT",143
"7813","Broad & Oxford","24th & Race SRT",26
"7814","Broad & Passyunk","24th & Race SRT",8
"7815","Broad & Pattison, BSL","24th & Race SRT",0
"7816","Broad & Ritner","24th & Race SRT",1
"7817","Corinthian & Poplar","24th & Race SRT",2
"7818","Crescent Park","24th & Race SRT",0
"7819","Darien & Catharine","24th & Race SRT",22
"7820","Del. River Trail & Penn St.","24th & Race SRT",13
"7821","Dornsife Center","24th & Race SRT",9
"7822","Fairmount & Ridge","24th & Race SRT",50
"7823","Foglietta Plaza","24th & Race SRT",25
"7824","Frankford & Belgrade","24th & Race SRT",4
"7825","Free Library of Philadelphia - Central Library","24th & Race SRT",50
"7826","Front & Carpenter","24th & Race SRT",7
"7827","Girard & Hutchinson","24th & Race SRT",12
"7828","Girard Station, MFL","24th & Race SRT",9
"7829","Grays Ferry & Pemberton","24th & Race SRT",90
"7830","Health Sciences Drive","24th & Race SRT",38
"7831","Independence Mall, NPS","24th & Race SRT",32
"7832","Moyamensing & Tasker","24th & Race SRT",11
"7833","Municipal Services Building Plaza","24th & Race SRT",54
"7834","Parkside & Belmont, Case Building","24th & Race SRT",30
"7835","ParkWest Town Center","24th & Race SRT",13
"7836","Penn Treaty Park","24th & Race SRT",0
"7837","Pennsylvania & Fairmount Perelman Building","24th & Race SRT",218
"7838","Pennsylvania Convention Center","24th & Race SRT",116
"7839","Philadelphia Museum of Art","24th & Race SRT",2085
"7840","Philadelphia Zoo","24th & Race SRT",37
"7841","Point Breeze & Tasker","24th & Race SRT",69
"7842","Race Street Pier","24th & Race SRT",18
"7843","Ridge & Master","24th & Race SRT",3
"7844","Rittenhouse Square","24th & Race SRT",69
"7845","Rodin Museum","24th & Race SRT",406
"7846","Schuylkill Banks Pergola","24th & Race SRT",217
"7847","Spring Garden Station, BSL","24th & Race SRT",84
"7848","Spring Garden Station, MFL","24th & Race SRT",5
"7849","Temple University Station","24th & Race SRT",6
"7850","The Children's Hospital of Philadelphia (CHOP)","24th & Race SRT",557
"7851","The Children's Hospital of Philadelphia, Osler Circle","24th & Race SRT",394
"7852","Thompson & Palmer, Adaire School","24th & Race SRT",4
"7853","University City Station","24th & Race SRT",626
"7854","Welcome Park, NPS","24th & Race SRT",15
"7855","10th & Chestnut","24th & Sansom",111
"7856","10th & Federal","24th & Sansom",31
"7857","11th & Market","24th & Sansom",42
"7858","11th & Pine, Kahn Park","24th & Sansom",153
"7859","11th & Poplar, John F. Street Community Center","24th & Sansom",1
"7860","11th & Reed","24th & Sansom",26
"7861","11th & South","24th & Sansom",80
"7862","11th & Washington","24th & Sansom",48
"7863","12th & Callowhill","24th & Sansom",27
"7864","12th & Chestnut","24th & Sansom",185
"7865","12th & Filbert","24th & Sansom",44
"7866","12th & Normandy","24th & Sansom",0
"7867","12th & Passyunk","24th & Sansom",14
"7868","13th & Locust","24th & Sansom",128
"7869","13th & Montgomery","24th & Sansom",8
"7870","15th & Castle, DiSilvestro Playground","24th & Sansom",25
"7871","15th & Kitty Hawk","24th & Sansom",1
"7872","15th & Market","24th & Sansom",76
"7873","15th & South","24th & Sansom",205
"7874","15th & Spruce","24th & Sansom",169
"7875","16th & Arch","24th & Sansom",12
"7876","16th & Chestnut","24th & Sansom",60
"7877","17th & Girard","24th & Sansom",88
"7878","17th & Green","24th & Sansom",27
"7879","17th & JFK","24th & Sansom",34
"7880","17th & Locust","24th & Sansom",220
"7881","17th & Pine","24th & Sansom",167
"7882","17th & Sansom","24th & Sansom",243
"7883","17th & Spring Garden","24th & Sansom",60
"7884","18th & Chestnut","24th & Sansom",52
"7885","18th & Christian","24th & Sansom",20
"7886","18th & Fernon, Aquinas Center","24th & Sansom",236
"7887","18th & JFK","24th & Sansom",176
"7888","18th & JFK Curbside","24th & Sansom",82
"7889","18th & Washington, Chew Playground","24th & Sansom",424
"7890","19th & Girard, PTTI","24th & Sansom",39
"7891","19th & Lombard","24th & Sansom",289
"7892","19th & Market","24th & Sansom",240
"7893","20th & Fairmount","24th & Sansom",44
"7894","20th & Market","24th & Sansom",137
"7895","20th & Race","24th & Sansom",28
"7896","20th & Sansom","24th & Sansom",704
"7897","21st & Catharine","24th & Sansom",452
"7898","21st & Winter, Franklin Institute","24th & Sansom",12
"7899","22nd & Cecil B. Moore","24th & Sansom",61
"7900","22nd & Federal","24th & Sansom",591
"7901","23rd & Fairmount","24th & Sansom",87
"7902","23rd & Market","24th & Sansom",228
"7903","23rd & South","24th & Sansom",273
"7904","24th & Cecil B. Moore, Cecil B. Moore Library","24th & Sansom",4
"7905","24th & Race SRT","24th & Sansom",167
"7906","24th & Sansom","24th & Sansom",1037
"7907","25th & Diamond","24th & Sansom",0
"7908","25th & Locust","24th & Sansom",221
"7909","27th & Girard","24th & Sansom",36
"7910","27th & Master, Athletic Recreation Center","24th & Sansom",1
"7911","27th & South","24th & Sansom",176
"7912","29th & Dauphin","24th & Sansom",1
"7913","29th & Diamond","24th & Sansom",0
"7914","2nd & Fairmount","24th & Sansom",5
"7915","2nd & Germantown","24th & Sansom",0
"7916","2nd & Market","24th & Sansom",36
"7917","2nd & Norris","24th & Sansom",0
"7918","2nd & Race","24th & Sansom",11
"7919","2nd & South","24th & Sansom",19
"7920","30th Street Station East","24th & Sansom",97
"7921","31st & Girard","24th & Sansom",85
"7922","32nd & Baring, Drexel Park","24th & Sansom",81
"7923","33rd & Dauphin","24th & Sansom",10
"7924","33rd & Diamond","24th & Sansom",6
"7925","33rd & Market","24th & Sansom",251
"7926","33rd & Reservoir","24th & Sansom",10
"7927","34th & Chestnut","24th & Sansom",28
"7928","34th & Mantua","24th & Sansom",4
"7929","34th & Spruce","24th & Sansom",376
"7930","36th & Sansom","24th & Sansom",614
"7931","38th & Market","24th & Sansom",94
"7932","38th & Powelton","24th & Sansom",184
"7933","38th & Spruce","24th & Sansom",140
"7934","39th & Mt. Vernon, Mantua Haverford Community Center","24th & Sansom",2
"7935","3rd & Girard","24th & Sansom",12
"7936","40th & Baltimore, Trolley Portal","24th & Sansom",196
"7937","40th & Spruce","24th & Sansom",209
"7938","40th Street Station, MFL","24th & Sansom",40
"7939","42nd & Lancaster","24th & Sansom",4
"7940","43rd & Chester, Clark Park","24th & Sansom",56
"7941","44th & Walnut","24th & Sansom",58
"7942","45th & Baltimore","24th & Sansom",20
"7943","46th Street Station, MFL","24th & Sansom",33
"7944","48th & Spruce","24th & Sansom",22
"7945","4th & Bainbridge","24th & Sansom",53
"7946","4th & Christian","24th & Sansom",105
"7947","4th & Walnut, NPS","24th & Sansom",36
"7948","4th & Washington","24th & Sansom",8
"7949","6th & Berks","24th & Sansom",1
"7950","6th & Fairmount","24th & Sansom",58
"7951","6th & Race","24th & Sansom",11
"7952","7th & Fitzwater","24th & Sansom",89
"7953","8th & Market","24th & Sansom",25
"7954","8th & Mifflin, Bok Building","24th & Sansom",15
"7955","9th & Arch","24th & Sansom",75
"7956","9th & Locust","24th & Sansom",176
"7957","9th & Spring Garden","24th & Sansom",15
"7958","Amtrak 30th Street Station","24th & Sansom",149
"7959","Barnes Foundation","24th & Sansom",56
"7960","Berks Station, MFL","24th & Sansom",1
"7961","Broad & Carpenter","24th & Sansom",1
"7962","Broad & Cecil B Moore","24th & Sansom",1
"7963","Broad & Christian","24th & Sansom",96
"7964","Broad & Diamond","24th & Sansom",2
"7965","Broad & Federal","24th & Sansom",62
"7966","Broad & Girard","24th & Sansom",6
"7967","Broad & Oxford","24th & Sansom",17
"7968","Broad & Passyunk","24th & Sansom",131
"7969","Broad & Pattison, BSL","24th & Sansom",6
"7970","Broad & Ritner","24th & Sansom",29
"7971","Corinthian & Poplar","24th & Sansom",17
"7972","Crescent Park","24th & Sansom",36
"7973","Darien & Catharine","24th & Sansom",64
"7974","Del. River Trail & Penn St.","24th & Sansom",6
"7975","Dornsife Center","24th & Sansom",43
"7976","Fairmount & Ridge","24th & Sansom",11
"7977","Foglietta Plaza","24th & Sansom",30
"7978","Frankford & Belgrade","24th & Sansom",9
"7979","Free Library of Philadelphia - Central Library","24th & Sansom",39
"7980","Front & Carpenter","24th & Sansom",6
"7981","Girard & Hutchinson","24th & Sansom",4
"7982","Girard Station, MFL","24th & Sansom",5
"7983","Grays Ferry & Pemberton","24th & Sansom",435
"7984","Health Sciences Drive","24th & Sansom",40
"7985","Independence Mall, NPS","24th & Sansom",31
"7986","Moyamensing & Tasker","24th & Sansom",15
"7987","Municipal Services Building Plaza","24th & Sansom",24
"7988","Parkside & Belmont, Case Building","24th & Sansom",6
"7989","ParkWest Town Center","24th & Sansom",0
"7990","Penn Treaty Park","24th & Sansom",0
"7991","Pennsylvania & Fairmount Perelman Building","24th & Sansom",94
"7992","Pennsylvania Convention Center","24th & Sansom",31
"7993","Philadelphia Museum of Art","24th & Sansom",342
"7994","Philadelphia Zoo","24th & Sansom",2
"7995","Point Breeze & Tasker","24th & Sansom",176
"7996","Race Street Pier","24th & Sansom",16
"7997","Ridge & Master","24th & Sansom",2
"7998","Rittenhouse Square","24th & Sansom",84
"7999","Rodin Museum","24th & Sansom",153
"8000","Schuylkill Banks Pergola","24th & Sansom",47
"8001","Spring Garden Station, BSL","24th & Sansom",48
"8002","Spring Garden Station, MFL","24th & Sansom",17
"8003","Temple University Station","24th & Sansom",1
"8004","The Children's Hospital of Philadelphia (CHOP)","24th & Sansom",407
"8005","The Children's Hospital of Philadelphia, Osler Circle","24th & Sansom",160
"8006","Thompson & Palmer, Adaire School","24th & Sansom",3
"8007","University City Station","24th & Sansom",327
"8008","Welcome Park, NPS","24th & Sansom",26
"8009","10th & Chestnut","25th & Diamond",0
"8010","10th & Federal","25th & Diamond",0
"8011","11th & Market","25th & Diamond",14
"8012","11th & Pine, Kahn Park","25th & Diamond",2
"8013","11th & Poplar, John F. Street Community Center","25th & Diamond",18
"8014","11th & Reed","25th & Diamond",0
"8015","11th & South","25th & Diamond",3
"8016","11th & Washington","25th & Diamond",0
"8017","12th & Callowhill","25th & Diamond",3
"8018","12th & Chestnut","25th & Diamond",4
"8019","12th & Filbert","25th & Diamond",6
"8020","12th & Normandy","25th & Diamond",0
"8021","12th & Passyunk","25th & Diamond",0
"8022","13th & Locust","25th & Diamond",1
"8023","13th & Montgomery","25th & Diamond",33
"8024","15th & Castle, DiSilvestro Playground","25th & Diamond",1
"8025","15th & Kitty Hawk","25th & Diamond",0
"8026","15th & Market","25th & Diamond",9
"8027","15th & South","25th & Diamond",1
"8028","15th & Spruce","25th & Diamond",2
"8029","16th & Arch","25th & Diamond",0
"8030","16th & Chestnut","25th & Diamond",7
"8031","17th & Girard","25th & Diamond",9
"8032","17th & Green","25th & Diamond",2
"8033","17th & JFK","25th & Diamond",1
"8034","17th & Locust","25th & Diamond",1
"8035","17th & Pine","25th & Diamond",1
"8036","17th & Sansom","25th & Diamond",1
"8037","17th & Spring Garden","25th & Diamond",16
"8038","18th & Chestnut","25th & Diamond",5
"8039","18th & Christian","25th & Diamond",0
"8040","18th & Fernon, Aquinas Center","25th & Diamond",1
"8041","18th & JFK","25th & Diamond",7
"8042","18th & JFK Curbside","25th & Diamond",1
"8043","18th & Washington, Chew Playground","25th & Diamond",0
"8044","19th & Girard, PTTI","25th & Diamond",18
"8045","19th & Lombard","25th & Diamond",2
"8046","19th & Market","25th & Diamond",5
"8047","20th & Fairmount","25th & Diamond",16
"8048","20th & Market","25th & Diamond",14
"8049","20th & Race","25th & Diamond",4
"8050","20th & Sansom","25th & Diamond",8
"8051","21st & Catharine","25th & Diamond",0
"8052","21st & Winter, Franklin Institute","25th & Diamond",3
"8053","22nd & Cecil B. Moore","25th & Diamond",108
"8054","22nd & Federal","25th & Diamond",0
"8055","23rd & Fairmount","25th & Diamond",3
"8056","23rd & Market","25th & Diamond",8
"8057","23rd & South","25th & Diamond",0
"8058","24th & Cecil B. Moore, Cecil B. Moore Library","25th & Diamond",0
"8059","24th & Race SRT","25th & Diamond",1
"8060","24th & Sansom","25th & Diamond",0
"8061","25th & Diamond","25th & Diamond",724
"8062","25th & Locust","25th & Diamond",0
"8063","27th & Girard","25th & Diamond",52
"8064","27th & Master, Athletic Recreation Center","25th & Diamond",3
"8065","27th & South","25th & Diamond",4
"8066","29th & Dauphin","25th & Diamond",201
"8067","29th & Diamond","25th & Diamond",0
"8068","2nd & Fairmount","25th & Diamond",3
"8069","2nd & Germantown","25th & Diamond",0
"8070","2nd & Market","25th & Diamond",8
"8071","2nd & Norris","25th & Diamond",0
"8072","2nd & Race","25th & Diamond",0
"8073","2nd & South","25th & Diamond",1
"8074","30th Street Station East","25th & Diamond",1
"8075","31st & Girard","25th & Diamond",66
"8076","32nd & Baring, Drexel Park","25th & Diamond",0
"8077","33rd & Dauphin","25th & Diamond",47
"8078","33rd & Diamond","25th & Diamond",55
"8079","33rd & Market","25th & Diamond",1
"8080","33rd & Reservoir","25th & Diamond",40
"8081","34th & Chestnut","25th & Diamond",3
"8082","34th & Mantua","25th & Diamond",1
"8083","34th & Spruce","25th & Diamond",2
"8084","36th & Sansom","25th & Diamond",0
"8085","38th & Market","25th & Diamond",2
"8086","38th & Powelton","25th & Diamond",0
"8087","38th & Spruce","25th & Diamond",1
"8088","39th & Mt. Vernon, Mantua Haverford Community Center","25th & Diamond",2
"8089","3rd & Girard","25th & Diamond",7
"8090","40th & Baltimore, Trolley Portal","25th & Diamond",0
"8091","40th & Spruce","25th & Diamond",2
"8092","40th Street Station, MFL","25th & Diamond",1
"8093","42nd & Lancaster","25th & Diamond",3
"8094","43rd & Chester, Clark Park","25th & Diamond",0
"8095","44th & Walnut","25th & Diamond",0
"8096","45th & Baltimore","25th & Diamond",1
"8097","46th Street Station, MFL","25th & Diamond",1
"8098","48th & Spruce","25th & Diamond",1
"8099","4th & Bainbridge","25th & Diamond",2
"8100","4th & Christian","25th & Diamond",0
"8101","4th & Walnut, NPS","25th & Diamond",0
"8102","4th & Washington","25th & Diamond",0
"8103","6th & Berks","25th & Diamond",19
"8104","6th & Fairmount","25th & Diamond",3
"8105","6th & Race","25th & Diamond",0
"8106","7th & Fitzwater","25th & Diamond",1
"8107","8th & Market","25th & Diamond",4
"8108","8th & Mifflin, Bok Building","25th & Diamond",1
"8109","9th & Arch","25th & Diamond",0
"8110","9th & Locust","25th & Diamond",1
"8111","9th & Spring Garden","25th & Diamond",1
"8112","Amtrak 30th Street Station","25th & Diamond",3
"8113","Barnes Foundation","25th & Diamond",7
"8114","Berks Station, MFL","25th & Diamond",15
"8115","Broad & Carpenter","25th & Diamond",0
"8116","Broad & Cecil B Moore","25th & Diamond",1
"8117","Broad & Christian","25th & Diamond",0
"8118","Broad & Diamond","25th & Diamond",218
"8119","Broad & Federal","25th & Diamond",3
"8120","Broad & Girard","25th & Diamond",49
"8121","Broad & Oxford","25th & Diamond",101
"8122","Broad & Passyunk","25th & Diamond",1
"8123","Broad & Pattison, BSL","25th & Diamond",0
"8124","Broad & Ritner","25th & Diamond",2
"8125","Corinthian & Poplar","25th & Diamond",4
"8126","Crescent Park","25th & Diamond",0
"8127","Darien & Catharine","25th & Diamond",1
"8128","Del. River Trail & Penn St.","25th & Diamond",6
"8129","Dornsife Center","25th & Diamond",1
"8130","Fairmount & Ridge","25th & Diamond",8
"8131","Foglietta Plaza","25th & Diamond",0
"8132","Frankford & Belgrade","25th & Diamond",3
"8133","Free Library of Philadelphia - Central Library","25th & Diamond",1
"8134","Front & Carpenter","25th & Diamond",2
"8135","Girard & Hutchinson","25th & Diamond",9
"8136","Girard Station, MFL","25th & Diamond",11
"8137","Grays Ferry & Pemberton","25th & Diamond",1
"8138","Health Sciences Drive","25th & Diamond",0
"8139","Independence Mall, NPS","25th & Diamond",1
"8140","Moyamensing & Tasker","25th & Diamond",1
"8141","Municipal Services Building Plaza","25th & Diamond",5
"8142","Parkside & Belmont, Case Building","25th & Diamond",9
"8143","ParkWest Town Center","25th & Diamond",44
"8144","Penn Treaty Park","25th & Diamond",0
"8145","Pennsylvania & Fairmount Perelman Building","25th & Diamond",11
"8146","Pennsylvania Convention Center","25th & Diamond",5
"8147","Philadelphia Museum of Art","25th & Diamond",21
"8148","Philadelphia Zoo","25th & Diamond",8
"8149","Point Breeze & Tasker","25th & Diamond",1
"8150","Race Street Pier","25th & Diamond",0
"8151","Ridge & Master","25th & Diamond",45
"8152","Rittenhouse Square","25th & Diamond",0
"8153","Rodin Museum","25th & Diamond",7
"8154","Schuylkill Banks Pergola","25th & Diamond",0
"8155","Spring Garden Station, BSL","25th & Diamond",16
"8156","Spring Garden Station, MFL","25th & Diamond",4
"8157","Temple University Station","25th & Diamond",8
"8158","The Children's Hospital of Philadelphia (CHOP)","25th & Diamond",0
"8159","The Children's Hospital of Philadelphia, Osler Circle","25th & Diamond",0
"8160","Thompson & Palmer, Adaire School","25th & Diamond",0
"8161","University City Station","25th & Diamond",0
"8162","Welcome Park, NPS","25th & Diamond",1
"8163","10th & Chestnut","25th & Locust",93
"8164","10th & Federal","25th & Locust",90
"8165","11th & Market","25th & Locust",96
"8166","11th & Pine, Kahn Park","25th & Locust",579
"8167","11th & Poplar, John F. Street Community Center","25th & Locust",5
"8168","11th & Reed","25th & Locust",82
"8169","11th & South","25th & Locust",290
"8170","11th & Washington","25th & Locust",89
"8171","12th & Callowhill","25th & Locust",48
"8172","12th & Chestnut","25th & Locust",131
"8173","12th & Filbert","25th & Locust",84
"8174","12th & Normandy","25th & Locust",1
"8175","12th & Passyunk","25th & Locust",46
"8176","13th & Locust","25th & Locust",370
"8177","13th & Montgomery","25th & Locust",28
"8178","15th & Castle, DiSilvestro Playground","25th & Locust",37
"8179","15th & Kitty Hawk","25th & Locust",3
"8180","15th & Market","25th & Locust",108
"8181","15th & South","25th & Locust",265
"8182","15th & Spruce","25th & Locust",766
"8183","16th & Arch","25th & Locust",23
"8184","16th & Chestnut","25th & Locust",69
"8185","17th & Girard","25th & Locust",12
"8186","17th & Green","25th & Locust",18
"8187","17th & JFK","25th & Locust",25
"8188","17th & Locust","25th & Locust",420
"8189","17th & Pine","25th & Locust",352
"8190","17th & Sansom","25th & Locust",173
"8191","17th & Spring Garden","25th & Locust",74
"8192","18th & Chestnut","25th & Locust",72
"8193","18th & Christian","25th & Locust",99
"8194","18th & Fernon, Aquinas Center","25th & Locust",91
"8195","18th & JFK","25th & Locust",156
"8196","18th & JFK Curbside","25th & Locust",27
"8197","18th & Washington, Chew Playground","25th & Locust",193
"8198","19th & Girard, PTTI","25th & Locust",19
"8199","19th & Lombard","25th & Locust",359
"8200","19th & Market","25th & Locust",167
"8201","20th & Fairmount","25th & Locust",69
"8202","20th & Market","25th & Locust",179
"8203","20th & Race","25th & Locust",81
"8204","20th & Sansom","25th & Locust",848
"8205","21st & Catharine","25th & Locust",271
"8206","21st & Winter, Franklin Institute","25th & Locust",29
"8207","22nd & Cecil B. Moore","25th & Locust",10
"8208","22nd & Federal","25th & Locust",211
"8209","23rd & Fairmount","25th & Locust",105
"8210","23rd & Market","25th & Locust",311
"8211","23rd & South","25th & Locust",674
"8212","24th & Cecil B. Moore, Cecil B. Moore Library","25th & Locust",0
"8213","24th & Race SRT","25th & Locust",523
"8214","24th & Sansom","25th & Locust",367
"8215","25th & Diamond","25th & Locust",0
"8216","25th & Locust","25th & Locust",3921
"8217","27th & Girard","25th & Locust",154
"8218","27th & Master, Athletic Recreation Center","25th & Locust",10
"8219","27th & South","25th & Locust",241
"8220","29th & Dauphin","25th & Locust",6
"8221","29th & Diamond","25th & Locust",0
"8222","2nd & Fairmount","25th & Locust",27
"8223","2nd & Germantown","25th & Locust",0
"8224","2nd & Market","25th & Locust",151
"8225","2nd & Norris","25th & Locust",0
"8226","2nd & Race","25th & Locust",91
"8227","2nd & South","25th & Locust",107
"8228","30th Street Station East","25th & Locust",516
"8229","31st & Girard","25th & Locust",184
"8230","32nd & Baring, Drexel Park","25th & Locust",111
"8231","33rd & Dauphin","25th & Locust",44
"8232","33rd & Diamond","25th & Locust",25
"8233","33rd & Market","25th & Locust",277
"8234","33rd & Reservoir","25th & Locust",52
"8235","34th & Chestnut","25th & Locust",47
"8236","34th & Mantua","25th & Locust",117
"8237","34th & Spruce","25th & Locust",381
"8238","36th & Sansom","25th & Locust",215
"8239","38th & Market","25th & Locust",189
"8240","38th & Powelton","25th & Locust",84
"8241","38th & Spruce","25th & Locust",281
"8242","39th & Mt. Vernon, Mantua Haverford Community Center","25th & Locust",3
"8243","3rd & Girard","25th & Locust",23
"8244","40th & Baltimore, Trolley Portal","25th & Locust",50
"8245","40th & Spruce","25th & Locust",138
"8246","40th Street Station, MFL","25th & Locust",29
"8247","42nd & Lancaster","25th & Locust",7
"8248","43rd & Chester, Clark Park","25th & Locust",81
"8249","44th & Walnut","25th & Locust",65
"8250","45th & Baltimore","25th & Locust",49
"8251","46th Street Station, MFL","25th & Locust",35
"8252","48th & Spruce","25th & Locust",32
"8253","4th & Bainbridge","25th & Locust",263
"8254","4th & Christian","25th & Locust",94
"8255","4th & Walnut, NPS","25th & Locust",125
"8256","4th & Washington","25th & Locust",27
"8257","6th & Berks","25th & Locust",13
"8258","6th & Fairmount","25th & Locust",35
"8259","6th & Race","25th & Locust",21
"8260","7th & Fitzwater","25th & Locust",113
"8261","8th & Market","25th & Locust",70
"8262","8th & Mifflin, Bok Building","25th & Locust",40
"8263","9th & Arch","25th & Locust",53
"8264","9th & Locust","25th & Locust",625
"8265","9th & Spring Garden","25th & Locust",21
"8266","Amtrak 30th Street Station","25th & Locust",407
"8267","Barnes Foundation","25th & Locust",95
"8268","Berks Station, MFL","25th & Locust",12
"8269","Broad & Carpenter","25th & Locust",7
"8270","Broad & Cecil B Moore","25th & Locust",0
"8271","Broad & Christian","25th & Locust",169
"8272","Broad & Diamond","25th & Locust",4
"8273","Broad & Federal","25th & Locust",123
"8274","Broad & Girard","25th & Locust",13
"8275","Broad & Oxford","25th & Locust",16
"8276","Broad & Passyunk","25th & Locust",49
"8277","Broad & Pattison, BSL","25th & Locust",9
"8278","Broad & Ritner","25th & Locust",40
"8279","Corinthian & Poplar","25th & Locust",13
"8280","Crescent Park","25th & Locust",3
"8281","Darien & Catharine","25th & Locust",117
"8282","Del. River Trail & Penn St.","25th & Locust",16
"8283","Dornsife Center","25th & Locust",44
"8284","Fairmount & Ridge","25th & Locust",18
"8285","Foglietta Plaza","25th & Locust",166
"8286","Frankford & Belgrade","25th & Locust",19
"8287","Free Library of Philadelphia - Central Library","25th & Locust",49
"8288","Front & Carpenter","25th & Locust",56
"8289","Girard & Hutchinson","25th & Locust",8
"8290","Girard Station, MFL","25th & Locust",41
"8291","Grays Ferry & Pemberton","25th & Locust",253
"8292","Health Sciences Drive","25th & Locust",54
"8293","Independence Mall, NPS","25th & Locust",76
"8294","Moyamensing & Tasker","25th & Locust",50
"8295","Municipal Services Building Plaza","25th & Locust",36
"8296","Parkside & Belmont, Case Building","25th & Locust",33
"8297","ParkWest Town Center","25th & Locust",4
"8298","Penn Treaty Park","25th & Locust",0
"8299","Pennsylvania & Fairmount Perelman Building","25th & Locust",313
"8300","Pennsylvania Convention Center","25th & Locust",77
"8301","Philadelphia Museum of Art","25th & Locust",3816
"8302","Philadelphia Zoo","25th & Locust",27
"8303","Point Breeze & Tasker","25th & Locust",156
"8304","Race Street Pier","25th & Locust",90
"8305","Ridge & Master","25th & Locust",8
"8306","Rittenhouse Square","25th & Locust",141
"8307","Rodin Museum","25th & Locust",279
"8308","Schuylkill Banks Pergola","25th & Locust",454
"8309","Spring Garden Station, BSL","25th & Locust",118
"8310","Spring Garden Station, MFL","25th & Locust",14
"8311","Temple University Station","25th & Locust",24
"8312","The Children's Hospital of Philadelphia (CHOP)","25th & Locust",476
"8313","The Children's Hospital of Philadelphia, Osler Circle","25th & Locust",764
"8314","Thompson & Palmer, Adaire School","25th & Locust",10
"8315","University City Station","25th & Locust",1127
"8316","Welcome Park, NPS","25th & Locust",61
"8317","10th & Chestnut","27th & Girard",96
"8318","10th & Federal","27th & Girard",18
"8319","11th & Market","27th & Girard",236
"8320","11th & Pine, Kahn Park","27th & Girard",70
"8321","11th & Poplar, John F. Street Community Center","27th & Girard",34
"8322","11th & Reed","27th & Girard",18
"8323","11th & South","27th & Girard",78
"8324","11th & Washington","27th & Girard",36
"8325","12th & Callowhill","27th & Girard",194
"8326","12th & Chestnut","27th & Girard",198
"8327","12th & Filbert","27th & Girard",176
"8328","12th & Normandy","27th & Girard",0
"8329","12th & Passyunk","27th & Girard",16
"8330","13th & Locust","27th & Girard",66
"8331","13th & Montgomery","27th & Girard",72
"8332","15th & Castle, DiSilvestro Playground","27th & Girard",14
"8333","15th & Kitty Hawk","27th & Girard",0
"8334","15th & Market","27th & Girard",372
"8335","15th & South","27th & Girard",32
"8336","15th & Spruce","27th & Girard",132
"8337","16th & Arch","27th & Girard",52
"8338","16th & Chestnut","27th & Girard",134
"8339","17th & Girard","27th & Girard",594
"8340","17th & Green","27th & Girard",52
"8341","17th & JFK","27th & Girard",44
"8342","17th & Locust","27th & Girard",146
"8343","17th & Pine","27th & Girard",44
"8344","17th & Sansom","27th & Girard",276
