"","Station_ID","start_lat","start_lon","state","county","censustract","censusblock","fips"
"93",3107,39.982029,-75.18866,"42","101","980001","1015","421019800011015"
"94",3108,39.953159,-75.165512,"42","101","000403","1003","421010004031003"
"96",3110,39.96175,-75.136414,"42","101","014202","3003","421010142023003"
"97",3111,39.977791,-75.213226,"42","101","980002","1078","421019800021078"
"98",3112,39.953732,-75.218246,"42","101","008601","1001","421010086011001"
"99",3113,39.97472,-75.197807,"42","101","980002","2006","421019800022006"
"100",3114,39.937752,-75.180122,"42","101","002100","1006","421010021001006"
"101",3115,39.97263,-75.167572,"42","101","013900","3001","421010139003001"
"102",3116,39.96006,-75.171982,"42","101","012502","2013","421010125022013"
"103",3117,39.978409,-75.223991,"42","101","011100","1000","421010111001000"
"104",3118,39.95866,-75.213226,"42","101","009200","1001","421010092001001"
"105",3119,39.96674,-75.207993,"42","101","010700","1025","421010107001025"
"106",3120,39.97522,-75.186691,"42","101","013701","2003","421010137012003"
"107",3121,39.97274,-75.17939,"42","101","013800","2023","421010138002023"
"108",3121,39.97414,-75.180222,"42","101","013800","2024","421010138002024"
"109",3122,39.980621,-75.1735,"42","101","014900","1008","421010149001008"
"110",3123,39.980042,-75.170883,"42","101","014800","1012","421010148001012"
"111",3124,39.95295,-75.139793,"42","101","036600","3013","421010366003013"
"112",3124,39.953621,-75.139542,"42","101","036600","3013","421010366003013"
"113",3125,39.943909,-75.167351,"42","101","001204","3010","421010012043010"
"114",3129,39.946812,-75.193108,"42","101","036901","4005","421010369014005"
"115",3129,39.947269,-75.195068,"42","101","036901","1002","421010369011002"
"116",3150,39.928841,-75.170212,"42","101","003001","2000","421010030012000"
"117",3152,39.949928,-75.202858,"42","101","008802","1002","421010088021002"
"118",3153,39.97216,-75.129936,"42","101","015800","5012","421010158005012"
"119",3154,39.95924,-75.158211,"42","101","037600","3007","421010376003007"
"120",3155,39.940182,-75.154419,"42","101","001800","1002","421010018001002"
"121",3156,39.953812,-75.174072,"42","101","000401","1016","421010004011016"
"122",3157,39.925449,-75.159538,"42","101","004101","3003","421010041013003"
"123",3158,39.925522,-75.169037,"42","101","004001","4006","421010040014006"
"124",3159,39.95121,-75.199623,"42","101","008802","3005","421010088023005"
"125",3160,39.956619,-75.198624,"42","101","008801","1001","421010088011001"
"126",3161,39.954861,-75.180908,"42","101","980003","2008","421019800032008"
"127",3162,39.94595,-75.184753,"42","101","001302","4006","421010013024006"
"128",3163,39.949741,-75.180969,"42","101","000801","2002","421010008012002"
"129",3164,39.928139,-75.165154,"42","101","002802","2006","421010028022006"
"130",3165,39.958191,-75.1782,"42","101","000300","5000","421010003005000"
"131",3166,39.972351,-75.134453,"42","101","014400","3029","421010144003029"
"132",3167,39.950249,-75.160278,"42","101","000600","1001","421010006001001"
"133",3168,39.95121,-75.173698,"42","101","000702","1003","421010007021003"
"134",3168,39.95134,-75.173943,"42","101","000702","1000","421010007021000"
"135",3169,39.953819,-75.142632,"42","101","000102","4001","421010001024001"
"136",3170,39.94426,-75.181343,"42","101","001302","4013","421010013024013"
"137",3181,39.89629,-75.17514,"42","101","989200","5003","421019892005003"
"138",3182,39.950809,-75.169533,"42","101","000701","1002","421010007011002"
"139",3183,39.889938,-75.176788,"42","101","989200","4008","421019892004008"
"140",3184,39.945621,-75.195618,"42","101","036901","4004","421010369014004"
"141",3184,39.945728,-75.195511,"42","101","036901","4004","421010369014004"
"142",3185,-39.951759,-75.158318,"NU","LL","","","NULL"
"143",3185,39.951691,-75.158882,"42","101","000500","3004","421010005003004"
"144",3186,39.89307,-75.171677,"42","101","989200","5011","421019892005011"
"145",3187,39.957249,-75.172318,"42","101","000300","4016","421010003004016"
"146",3188,39.904709,-75.173401,"42","101","980600","1011","421019806001011"
"147",3190,39.948921,-75.169907,"42","101","000805","1001","421010008051001"
"148",3192,39.96207,-75.141113,"42","101","036700","3009","421010367003009"
"149",3195,39.954102,-75.169647,"42","101","000404","3004","421010004043004"
"150",3196,39.987171,-75.174767,"42","101","015102","3000","421010151023000"
"151",3197,39.92083,-75.170326,"42","101","004002","4001","421010040024001"
"152",3200,39.97583,-75.168457,"42","101","013900","2010","421010139002010"
"153",3201,39.955231,-75.166199,"42","101","000300","3012","421010003003012"
"154",3202,39.95134,-75.16758,"42","101","000403","2003","421010004032003"
"155",3203,39.940769,-75.172272,"42","101","001900","1004","421010019001004"
"156",3204,39.964371,-75.165817,"42","101","013300","2003","421010133002003"
"157",3205,39.954048,-75.167831,"42","101","000403","2001","421010004032001"
"158",3206,39.95174,-75.170631,"42","101","000404","1004","421010004041004"
"159",3207,39.954411,-75.192001,"42","101","036902","4001","421010369024001"
"160",3208,39.950481,-75.193237,"42","101","036901","3000","421010369013000"
"161",3209,39.949001,-75.212784,"42","101","007700","1002","421010077001002"
"162",3210,39.984921,-75.156677,"42","101","015300","1004","421010153001004"
"163",3211,39.971722,-75.170601,"42","101","013900","3003","421010139003003"
"164",3212,39.963791,-75.18158,"42","101","012502","2006","421010125022006"
"165",3213,39.938869,-75.166634,"42","101","001900","3006","421010019003006"
"166",3214,39.978909,-75.157799,"42","101","014600","2002","421010146002002"
"167",3226,39.98101,-75.137207,"42","101","015700","1006","421010157001006"
"171",3042,39.949421,-75.16613,"42","101","000806","2000","421010008062000"
