"","Station_ID","Station_Name","Go_live_date","Status","start_lat","start_lon"
"84",3098,"10th & Federal","5/2/2016","Active",39.934311,-75.160423
"85",3099,"4th & Washington","5/2/2016","Active",39.93401,-75.15094
"86",3100,"Moyamensing & Tasker","5/2/2016","Active",39.927769,-75.151031
"87",3101,"11th & South","5/2/2016","Active",39.942951,-75.159554
"88",3102,"Pennsylvania & Fairmount Perelman Building","5/3/2016","Active",39.96759,-75.17952
"89",3103,"27th & Master, Athletic Recreation Center","5/3/2016","Inactive",39.977139,-75.179398
"90",3104,"34th & Mantua","5/3/2016","Active",39.96664,-75.192093
"91",3105,"Penn Treaty Park","5/3/2016","Inactive",39.96207,-75.141113
"92",3106,"33rd & Dauphin","5/5/2016","Active",39.991791,-75.186371
"93",3107,"33rd & Reservoir","5/4/2016","Active",39.982029,-75.18866
"94",3108,"15th & Market","5/4/2016","Active",39.953159,-75.165512
"95",3109,"Parkside & Girard","5/6/2016","Inactive",NA,NA
"96",3110,"Del. River Trail & Penn St.","5/4/2016","Active",39.96175,-75.136414
"97",3111,"Parkside & Belmont, Case Building","5/5/2016","Active",39.977791,-75.213226
"98",3112,"48th & Spruce","5/5/2016","Active",39.953732,-75.218246
"99",3113,"Philadelphia Zoo","5/6/2016","Active",39.97472,-75.197807
"100",3114,"22nd & Federal","5/5/2016","Active",39.937752,-75.180122
"101",3115,"19th & Girard, PTTI","5/4/2016","Active",39.97263,-75.167572
"102",3116,"Barnes Foundation","12/14/2017","Active",39.96006,-75.171982
"103",3117,"ParkWest Town Center","4/15/2016","Active",39.978409,-75.223991
"104",3118,"46th Street Station, MFL","4/25/2016","Active",39.95866,-75.213226
"105",3119,"42nd & Lancaster","4/25/2016","Active",39.96674,-75.207993
"106",3120,"31st & Girard","4/26/2016","Active",39.97522,-75.186691
"107",3121,"27th & Girard","4/26/2016","Active",39.97274,-75.17939
"108",3121,"27th & Girard","4/26/2016","Active",39.97414,-75.180222
"109",3122,"24th & Cecil B. Moore, Cecil B. Moore Library","4/27/2016","Inactive",39.980621,-75.1735
"110",3123,"22nd & Cecil B. Moore","4/27/2016","Active",39.980042,-75.170883
"111",3124,"Race Street Pier","3/31/2016","Active",39.95295,-75.139793
"112",3124,"Race Street Pier","3/31/2016","Active",39.953621,-75.139542
"113",3125,"15th & South","4/8/2016","Active",39.943909,-75.167351
"114",3129,"The Children's Hospital of Philadelphia, Osler Circle","5/24/2016","Inactive",39.946812,-75.193108
"115",3129,"The Children's Hospital of Philadelphia, Osler Circle","5/24/2016","Inactive",39.947269,-75.195068
"116",3150,"15th & Castle, DiSilvestro Playground","6/7/2017","Active",39.928841,-75.170212
"117",3152,"40th & Baltimore, Trolley Portal","6/5/2017","Active",39.949928,-75.202858
"118",3153,"Thompson & Palmer, Adaire School","6/7/2017","Active",39.97216,-75.129936
"119",3154,"12th & Callowhill","6/7/2017","Active",39.95924,-75.158211
"120",3155,"7th & Fitzwater","9/26/2017","Active",39.940182,-75.154419
"121",3156,"20th & Market","6/8/2017","Active",39.953812,-75.174072
"122",3157,"8th & Mifflin, Bok Building","6/8/2017","Active",39.925449,-75.159538
"123",3158,"Broad & Passyunk","6/8/2017","Active",39.925522,-75.169037
"124",3159,"38th & Spruce","6/6/2017","Active",39.95121,-75.199623
"125",3160,"38th & Market","6/6/2017","Active",39.956619,-75.198624
"126",3161,"30th Street Station East","6/6/2017","Active",39.954861,-75.180908
"127",3162,"27th & South","6/9/2017","Active",39.94595,-75.184753
"128",3163,"25th & Locust","6/9/2017","Active",39.949741,-75.180969
"129",3164,"12th & Passyunk","9/26/2017","Active",39.928139,-75.165154
"130",3165,"24th & Race SRT","9/27/2017","Active",39.958191,-75.1782
"131",3166,"Frankford & Belgrade","5/9/2018","Active",39.972351,-75.134453
"132",3167,"12th & Chestnut","1/24/2018","Active",39.950249,-75.160278
"133",3168,"20th & Sansom","12/13/2017","Active",39.95121,-75.173698
